time,thrust,tilt,x_drone,y_drone,theta,xdot_drone,ydot_drone,x_cargo,y_cargo,xdot_cargo,ydot_cargo,l_rope,ldot_rope
0,49.05,0,0,1,0,0,0,0,0,0,0,1,0
0.01,49.05,0,0,1.00033,0,0,0.0653995,0,-0.000490496,0,-0.0980984,1,0
0.02,0,0,0,1.00049,0,0,-0.0327007,0,-0.00196194,0,-0.196187,1,0.08175
0.03,0,0,0,0.999673,0,0,-0.130798,0,-0.00441418,0,-0.294257,1.00041,0.0817492
0.04,0,0,0,0.997875,0,0,-0.228887,0,-0.00784697,0,-0.392297,1.00082,0.163498
0.05,0,0,0,0.995095,0,0,-0.326961,0,-0.01226,0,-0.4903,1.00082,0.163498
0.06,0,0,0,0.991335,0,0,-0.425014,0,-0.0176528,0,-0.588254,1.00163,0.163495
0.07,0,0,0,0.986595,0,0,-0.523039,0,-0.0240249,0,-0.68615,1.00163,0.163492
0.08,0,0,0,0.980875,0,0,-0.621029,0,-0.0313756,0,-0.78398,1.00245,0.163487
0.09,0,0,0,0.974175,0,0,-0.718979,0,-0.0397042,0,-0.881733,1.00245,0.163486
0.1,0,0,0,0.966495,0,0,-0.816883,0,-0.04901,0,-0.979399,1.00327,0.163477
0.11,0,0,0,0.957837,0,0,-0.914732,0,-0.0592919,0,-1.07697,1.00327,0.163473
0.12,0,0,0,0.948201,0,0,-1.01252,0,-0.070549,0,-1.17444,1.00409,0.163459
0.13,0,0,0,0.937587,0,0,-1.11025,0,-0.0827802,0,-1.27179,1.00409,0.163458
0.14,0,0,0,0.925996,0,0,-1.2079,0,-0.0959844,0,-1.36902,1.0049,0.16344
0.15,0,0,0,0.913429,0,0,-1.30547,0,-0.11016,0,-1.46611,1.0049,0.163434
0.16,0,0,0,0.899887,0,0,-1.40296,0,-0.125306,0,-1.56306,1.00572,0.16341
0.17,0,0,0,0.88537,0,0,-1.50036,0,-0.141421,0,-1.65986,1.00572,0.16341
0.18,0,0,0,0.86988,0,0,-1.59766,0,-0.158503,0,-1.7565,1.00654,0.16338
0.19,0,0,0,0.853418,0,0,-1.69485,0,-0.17655,0,-1.85298,1.00654,0.163374
0.2,0,0,0,0.835983,0,0,-1.79194,0,-0.195562,0,-1.94927,1.00736,0.163339
0.21,0,0,0,0.817579,0,0,-1.88891,0,-0.215535,0,-2.04537,1.00736,0.163338
0.22,0,0,0,0.798206,0,0,-1.98576,0,-0.236469,0,-2.14128,1.00817,0.163296
0.23,0,0,0,0.777864,0,0,-2.08248,0,-0.25836,0,-2.23699,1.00817,0.163289
0.24,0,0,0,0.756556,0,0,-2.17907,0,-0.281208,0,-2.33247,1.00899,0.16324
0.25,0,0,0,0.734283,0,0,-2.27551,0,-0.305009,0,-2.42774,1.00899,0.16324
0.26,0,0,0,0.711047,0,0,-2.37181,0,-0.329762,0,-2.52278,1.0098,0.163184
0.27,0,0,0,0.686848,0,0,-2.46796,0,-0.355464,0,-2.61757,1.0098,0.163176
0.28,0,0,0,0.661688,0,0,-2.56395,0,-0.382112,0,-2.71212,1.01062,0.163112
0.29,0,0,0,0.635569,0,0,-2.65978,0,-0.409705,0,-2.80642,1.01062,0.163112
0.3,0,0,0,0.608493,0,0,-2.75543,0,-0.43824,0,-2.90045,1.01144,0.16304
0.31,0,0,0,0.580461,0,0,-2.85091,0,-0.467713,0,-2.9942,1.01144,0.163031
0.32,0,0,0,0.551475,0,0,-2.94621,0,-0.498123,0,-3.08768,1.01225,0.162951
0.33,0,0,0,0.521538,0,0,-3.04132,0,-0.529466,0,-3.18086,1.01225,0.162951
